Fitur,SHAP_mean_abs
thal,0.11449182696263945
ca,0.09729683337404033
cp,0.07956804989168283
oldpeak,0.04602630619228948
thalach,0.04375897549288028
exang,0.04361271114145676
slope,0.039173845051342866
sex,0.035440767902370655
age,0.024847254823433838
chol,0.015921637176833647
restecg,0.013418261923147105
trestbps,0.010974361782026059
fbs,0.0010422609763829477
